SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq127,1,0,0,0,0,0,0,0,0,gi|1145999267|gb|KY224666.1|,92.593,162,2.69E-57,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Nasutitermes,[6]Nasutitermes_sp._B_TB-2017
seq128,0,0,0,0,0,0,0,1,0,gi|604141830|gb|KJ185131.1|,87.879,165,1.65E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Eutelia,[6]Eutelia_adulatricoides
seq129,0,0,0,1,0,0,0,0,0,gi|2352414|gb|AF003520.1|AF003520,81.481,162,1.69E-24,"Xorides sp. 16S ribosomal RNA gene, partial sequence",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Ichneumonidae,[5]Xorides,[6]Xorides_sp.
seq130,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,3.64E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq131,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.76E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq132,0,0,0,0,0,0,0,1,0,gi|767521410|gb|KJ934418.1|,93.827,162,1.63E-60,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._ENT-MG176
seq133,0,0,0,1,0,0,0,0,0,gi|1178768888|gb|KX087356.1|,79.755,163,1.73E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Romualdius,[6]Romualdius_bifoveolatus
seq134,1,0,0,0,0,0,0,1,0,gi|66270010|gb|DQ023050.1|,83.654,104,4.83E-16,"Cardiocondyla minutior isolate minutior23A 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Cardiocondyla,[6]Cardiocondyla_minutior
seq135,0,0,0,1,0,0,0,0,0,gi|1381347870|gb|MF101677.1|,80.42,143,1.34E-16,N/A,[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Figitidae,[5]Alloxysta,[6]Alloxysta_sp._1_FY-2018
seq136,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.76E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq137,0,0,0,1,0,0,0,0,0,gi|1062337423|emb|LM644683.1|,85.802,162,3.63E-37,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Calligrapha,[6]Calligrapha_notatipennis
seq138,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.76E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq139,0,0,0,0,0,0,0,0,1,gi|116008684|gb|DQ680910.1|,95,160,2.71E-63,"Anomala sp. 1 DA-2006 16S ribosomal RNA gene, partial sequence; tRNA-Leu gene, complete sequence; and NADH dehydrogenase subunit 1 (ND1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Anomala,[6]Anomala_sp._1_DA-2006
seq144,1,0,0,0,0,0,0,1,0,gi|125573529|gb|EF150349.1|,90.741,162,3.55E-52,"Libythea celtis voucher jshao 2006107 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Nymphalidae,[5]Libythea,[6]Libythea_celtis
seq145,0,0,0,0,0,0,0,1,0,gi|61655535|gb|AY847536.1|,85.938,128,3.68E-27,"Seirotrana annulipes 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Seirotrana,[6]Seirotrana_annulipes
seq146,1,0,0,0,0,0,0,0,0,gi|817597677|gb|KP973953.1|,87.879,165,7.75E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Erebidae,[5]Callimorpha,[6]Callimorpha_dominula
seq147,1,0,0,0,0,0,0,0,0,gi|687814693|gb|KM349826.1|,90.541,148,1.67E-45,N/A,[1]Arthropoda,[2]Insecta,[3]Thysanoptera,[4]Thripidae,[5]Scirtothrips,[6]Scirtothrips_dorsalis
seq149,0,0,0,1,1,1,0,0,0,gi|564131947|gb|KF623525.1|,83.562,146,3.68E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Triozidae,[5]Bactericera,[6]Bactericera_cockerelli
seq150,0,0,0,0,1,0,0,0,0,gi|290466047|gb|GU143727.1|,83.333,138,2.87E-23,"Ochthebius gibbosus voucher MNCN-AI365/23711 16S ribosomal RNA (rrnL) gene, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and NAD dehydrogenase 1 (nad1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Hydraenidae,[5]Ochthebius,[6]Ochthebius_gibbosus
seq151,0,0,1,0,0,0,0,0,0,gi|9789141|gb|AF173076.1|,88.889,162,1.29E-46,"Condica sutor 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Condica,[6]Condica_sutor
seq152,1,0,0,0,0,0,0,0,0,gi|12002725|gb|AF158045.1|AF158045,78.395,162,1.74E-15,"Orthopagus splendens 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Dictyopharidae,[5]Orthopagus,[6]Orthopagus_splendens
seq155,1,0,0,0,0,0,0,0,0,gi|1246953244|gb|MF152838.1|,88.199,161,1.67E-45,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Noctuidae,[5]Athetis,[6]Athetis_lepigone
seq156,0,0,0,0,0,1,0,0,0,gi|81367898|gb|DQ202529.1|,90.566,159,1.65E-50,"Epuraea melanocephala voucher BMNH:679164 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Nitidulidae,[5]Epuraea,[6]Epuraea_melanocephala
seq157,0,0,1,0,0,0,0,0,0,gi|164415836|gb|EU349015.1|,83.766,154,4.73E-31,"Parafronurus youi mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Ephemeroptera,[4]Heptageniidae,[5]Parafronurus,[6]Parafronurus_youi
seq160,0,0,0,0,1,0,0,0,0,gi|145584725|emb|AJ841403.1|,85.802,162,1.01E-37,"Aulacoscelis appendiculata mitochondrial partial 16S rRNA gene, specimen voucher BMNH#704504",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Aulacoscelis,[6]Aulacoscelis_appendiculata
seq161,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.76E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq162,0,0,1,0,0,0,0,0,0,gi|1216867063|gb|KY796055.1|,86.164,159,7.80E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Cerambycidae,[5]Chlorophorus,[6]Chlorophorus_simillimus
seq163,1,1,0,0,0,0,0,0,0,gi|311780215|gb|HM594524.1|,92.079,101,6.12E-30,"Atachycines sp. IND 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Rhaphidophoridae,[5]Atachycines,[6]Atachycines_sp._IND
seq164,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,94.512,164,7.53E-64,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq165,0,0,0,0,0,1,0,0,0,gi|924434874|gb|KP082025.1|,91.358,162,7.64E-54,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Lymantriidae,[5]Telochurus,[6]Telochurus_sp._H52
seq166,0,0,0,1,0,0,0,0,0,gi|159024858|emb|AJ831662.1|,86.061,165,2.17E-39,"Zygaena truchmena ferganica mitochondrial tRNA-Leu (CUN) gene, 16S rRNA gene and tRNA-Val (GUN) gene, specimen voucher Z004973",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Zygaenidae,[5]Zygaena,[6]Zygaena_truchmena
seq167,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.76E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq170,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq171,0,0,1,0,0,0,0,0,0,gi|94480606|emb|AJ862742.1|,90,160,5.95E-50,"Dascillus cervinus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Dascillidae,[5]Dascillus,[6]Dascillus_cervinus
seq172,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,1.02E-27,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq173,1,0,0,0,0,0,0,0,0,gi|1154501177|gb|KY178323.1|,91.875,160,2.75E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Acrididae,[5]Arcyptera,[6]Arcyptera_meridionalis
seq174,0,0,1,0,0,0,0,0,0,gi|1200754261|gb|KY427949.1|,79.464,112,4.87E-11,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Tephritidae,[5]Acinia,[6]Acinia_picturata
seq175,0,0,0,0,0,1,0,0,0,gi|663337761|gb|KJ136724.1|,89.091,165,7.69E-49,N/A,[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Bibionidae,[5]Bibio,[6]Bibio_marci
seq177,0,0,1,0,0,0,0,0,0,gi|513798572|gb|KC887532.1|,87.037,162,3.61E-42,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Phymatidae,[5]Cnizocoris,[6]Cnizocoris_sinensis
seq178,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,88.889,99,7.97E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq179,0,0,0,0,0,0,0,1,0,gi|390473354|gb|JX050221.1|,95.062,162,2.71E-63,"Macrotermes barneyi mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Macrotermes,[6]Macrotermes_barneyi
seq180,0,0,0,0,0,0,0,1,0,gi|922579456|gb|KT304195.1|,81.579,152,1.33E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Hymenoplia,[6]Hymenoplia_rugulosa
seq181,0,0,0,0,0,1,0,0,0,gi|914731480|gb|KR005723.1|,85.366,164,1.69E-35,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Erotylidae,[5]Pharaxonotha,[6]Pharaxonotha_portophylla
seq182,0,0,1,0,0,0,0,0,0,gi|594542690|gb|KJ024448.1|,85.535,159,4.70E-36,N/A,[1]Arthropoda,[2]Insecta,[3]Phasmatodea,[4]Diapheromeridae,[5]Trachythorax,[6]Trachythorax_maculicollis
seq184,0,0,1,0,0,0,0,0,0,gi|700895282|gb|KJ777747.1|,85.89,163,7.80E-39,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Nymphalidae,[5]Thauria,[6]Thauria_lathyi
seq185,0,0,0,0,0,0,0,1,0,gi|116008578|gb|DQ680857.1|,93.75,160,5.86E-60,"Adoretus sp. 12 DA-2006 16S ribosomal RNA gene, partial sequence; tRNA-Leu gene, complete sequence; and NADH dehydrogenase subunit 1 (ND1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Adoretus,[6]Adoretus_sp._12_DA-2006
seq186,0,0,0,0,0,0,0,1,0,gi|1145996777|gb|KY224486.1|,91.411,163,7.64E-54,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_minutus
seq187,0,0,0,0,1,0,0,0,0,gi|238817510|gb|FJ443029.1|,87.5,152,1.68E-40,"Cincticostella insolta 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Ephemeroptera,[4]Ephemerellidae,[5]Cincticostella,[6]Cincticostella_insolta
seq188,0,0,0,1,0,0,0,0,0,gi|403226843|gb|JX448619.1|,86.061,165,1.01E-37,"Dichocrocis punctiferalis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Crambidae,[5]Conogethes,[6]Conogethes_punctiferalis
seq189,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,95.238,84,3.68E-27,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq190,0,0,0,0,1,0,0,0,0,gi|799598530|gb|KP143630.1|,85.577,104,1.73E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Coccinellidae,[5]Cynegetis,[6]Cynegetis_impunctata
seq191,0,0,0,0,0,1,0,0,0,gi|815930842|gb|KP245955.1|,89.855,138,1.68E-40,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Cacopsylla,[6]Cacopsylla_coccinea
seq192,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,91.919,99,2.20E-29,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq193,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,93.333,165,1.63E-60,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq194,0,0,0,1,0,0,0,0,0,gi|285309319|emb|FN549247.1|,89.375,160,9.65E-48,"Conotrachelus sp. SPN-008 mitochondrial partial 16S rRNA gene, specimen voucher BMNH:796608",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Curculionidae,[5]Conotrachelus,[6]Conotrachelus_sp._SPN-008
seq195,0,0,0,0,0,0,0,1,0,gi|1145995993|gb|KY224429.1|,96.273,161,3.37E-67,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Hypotermes,[6]Hypotermes_makhamensis
seq196,0,0,1,0,0,0,0,0,0,gi|712045530|gb|KM244668.1|,84.091,132,2.15E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Zygaenidae,[5]Rhodopsona,[6]Rhodopsona_rubiginosa
seq197,0,0,0,0,0,0,0,1,0,gi|283468567|emb|AM910844.1|,77.528,178,7.84E-14,"Polyergus rufescens mitochondrial partial 16S rRNA gene, clone A1",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Polyergus,[6]Polyergus_rufescens
seq198,1,0,1,0,0,0,0,0,0,gi|922579189|gb|KT303928.1|,91.358,162,2.66E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Maladera,[6]Maladera_sp._DA3976
seq200,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq201,0,0,0,1,1,1,0,0,0,gi|962094398|gb|KR903714.1|,85.981,107,1.29E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Gryllidae,[5]Polionemobius,[6]Polionemobius_aff._taprobanensis_ICCM-2015
seq202,0,0,0,0,0,1,0,0,0,gi|425869701|gb|KC177457.1|,95.57,158,7.30E-64,"Tipula abdominalis 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Diptera,[4]Tipulidae,[5]Tipula,[6]Tipula_abdominalis
seq203,0,0,0,1,0,0,0,0,0,gi|66270015|gb|DQ023055.1|,82.53,166,7.67E-29,"Protomognathus americanus isolate pamericanus 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Temnothorax,[6]Temnothorax_americanus
seq204,1,0,0,0,0,0,0,0,0,gi|126678898|gb|EF363278.1|,79.503,161,6.02E-20,"Pycnoscelus surinamensis voucher G14 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Blaberidae,[5]Pycnoscelus,[6]Pycnoscelus_surinamensis
seq205,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,95.238,84,3.57E-27,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq206,0,0,0,1,0,0,0,0,0,gi|764697711|gb|KM978382.1|,86.486,74,4.72E-11,N/A,[1]Arthropoda,[2]Collembola,[3]Entomobryomorpha,[4]Paronellidae,[5]Callyntrura,[6]Callyntrura_guangdongensis
seq207,0,0,0,0,0,0,0,1,0,gi|390473354|gb|JX050221.1|,95.625,160,2.03E-64,"Macrotermes barneyi mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Macrotermes,[6]Macrotermes_barneyi
seq208,0,0,0,0,0,0,0,1,0,gi|1251775604|gb|KY124331.1|,80.87,115,7.84E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Phasmatodea,[4]Phasmatidae,[5]Megalophasma,[6]Megalophasma_granulatum
seq209,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq210,1,0,0,0,0,0,0,0,0,gi|26005729|dbj|AB052801.1|,86.861,137,9.86E-33,"Anisolabis maritima mitochondrial gene for 16S ribosomal RNA, partial sequence",[1]Arthropoda,[2]Insecta,[3]Dermaptera,[4]Anisolabididae,[5]Anisolabis,[6]Anisolabis_maritima
seq211,0,0,0,0,0,0,0,1,0,gi|1245686463|gb|KX437728.1|,81.875,160,2.15E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Membracidae,[5]Centrotus,[6]Centrotus_cornutus
seq212,0,0,0,0,0,1,0,0,0,gi|630602337|gb|KJ002982.1|,88.43,121,4.59E-31,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Arcothymus,[6]Arcothymus_tristis
seq213,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,95.238,84,3.57E-27,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq214,0,0,1,0,0,0,0,0,0,gi|922579247|gb|KT303986.1|,92,100,5.93E-30,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Trochalus,[6]Trochalus_sp._DA0878
seq215,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,88.889,99,2.15E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq216,0,0,0,0,0,0,0,1,0,gi|974709219|gb|KP829010.1|,87.629,97,1.67E-20,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Bothrideridae,[5]Bothrideres,[6]Bothrideres_sp._CO912
seq217,0,0,0,0,0,0,0,1,0,gi|146269468|gb|EF209457.1|,80.625,160,3.60E-22,"Macronychini sp. FC_B03 16S ribosomal RNA (rrnL) gene, partial sequence; tRNA-Leu gene, complete sequence; and NADH dehydrogenase subunit 1 (nad1) gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elmidae,[5]Macronychini_sp._FC_B03,[6]Macronychini_sp._FC_B03
seq218,0,0,0,0,0,0,0,1,0,gi|296281001|gb|GQ422881.1|,98.758,161,7.20E-74,"Odontotermes sp. BKS-2010 isolate TL 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._BKS-2010
seq219,0,0,0,0,0,1,0,0,0,gi|290775322|gb|GU457835.1|,93.548,186,1.56E-70,"Cinara longipennis 12S small subunit ribosomal RNA gene, partial sequence; tRNA-Val gene, complete sequence; and 16S large subunit ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Lachnidae,[5]Cinara,[6]Cinara_longipennis
seq220,0,0,0,1,0,0,0,0,0,gi|12002713|gb|AF158033.1|AF158033,86.335,161,5.85E-40,"Betacixius ocellatus 16S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Cixiidae,[5]Betacixius,[6]Betacixius_ocellatus
seq221,0,0,0,0,0,1,0,0,0,gi|158832191|dbj|AB363700.1|,94.891,137,3.45E-52,"Psylla lanceolata mitochondrial gene for 16S rRNA, partial sequence, isolate: DA-1",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Psyllidae,[5]Psylla,[6]Psylla_lanceolata
seq222,0,0,0,0,0,1,0,0,0,gi|575427322|gb|KF205892.1|,89.394,132,9.79E-38,N/A,[1]Annelida,[2]Clitellata,[3]Haplotaxida,[4]Megascolecidae,[5]Perionyx,[6]Perionyx_excavatus
seq223,0,0,0,1,1,0,0,0,0,gi|37547652|gb|AY131539.1|,81.325,166,1.66E-25,"Eurysternus plebejus 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Eurysternus,[6]Eurysternus_plebejus
seq224,0,0,0,1,0,0,0,0,0,gi|862575816|dbj|LC017851.1|,78.571,154,2.18E-14,N/A,[1]Arthropoda,[2]Insecta,[3]Odonata,[4]Corduliidae,[5]Cordulia,[6]Cordulia_aenea
seq225,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq226,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq227,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq229,0,0,0,0,0,0,0,1,0,gi|388242771|gb|JQ917909.1|,91.772,158,7.41E-54,"Mecopoda niponensis mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Orthoptera,[4]Tettigoniidae,[5]Mecopoda,[6]Mecopoda_niponensis
seq231,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq232,1,0,0,0,0,0,0,1,0,gi|671384290|gb|KJ700369.1|,88.82,161,1.61E-45,N/A,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Elateridae,[5]Campsosternus,[6]Campsosternus_auratus
seq234,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,88.889,99,7.73E-24,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq235,0,0,1,0,0,0,0,0,0,gi|89994142|emb|AM160794.1|,83.333,162,2.13E-29,"Calligrapha alnicola mitochondrial partial 16S rRNA gene, isolate 1",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Chrysomelidae,[5]Calligrapha,[6]Calligrapha_alnicola
seq236,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90.909,99,9.93E-28,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq240,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,87,100,4.65E-21,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq241,0,0,0,0,0,0,0,1,0,gi|1145996833|gb|KY224490.1|,91.25,160,9.58E-53,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Euhamitermes,[6]Euhamitermes_hamatus
seq242,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,90,100,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq243,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,94.512,164,7.30E-64,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq244,0,0,0,0,0,0,0,1,0,gi|953966628|dbj|LC099168.1|,89.899,99,4.62E-26,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_forficula
seq245,0,0,0,0,0,0,0,1,0,gi|953966635|dbj|LC099175.1|,85.714,77,3.65E-12,N/A,[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Acanthosomatidae,[5]Acanthosoma,[6]Acanthosoma_labiduroides
seq246,0,0,0,0,0,0,0,1,0,gi|1145996103|gb|KY224437.1|,95.122,164,1.57E-65,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
